Status,Label,Message,ProcessedMessage
receive,1,Dear Customer  as a G-BAM customer  you have received FREE 5Mb for browsing. Browse and enjoy the best calling rates on G-Bam. Enjoy!,dear custom g bam custom receiv free numbermb brows brows enjoy best call rate g bam enjoy
receive,1,Dear Customer  as a G-BAM customer  you have received FREE 5Mb for browsing. Browse and enjoy the best calling rates on G-Bam. Enjoy!,dear custom g bam custom receiv free numbermb brows brows enjoy best call rate g bam enjoy
receive,1,Want to win a Walker? Click here www.Facebook.com/GOtvNg to like the GOtv Facebook page; you?ll be entered for a raffle draw and could win one of 50 Walkers!,want win walker click webaddress like gotv facebook page enter raffl draw could win one number walker
receive,1,Want to win a Walker? Click here www.Facebook.com/GOtvNg to like the GOtv Facebook page; you?ll be entered for a raffle draw and could win one of 50 Walkers!,want win walker click webaddress like gotv facebook page enter raffl draw could win one number walker
receive,1,GREAT NEWS!We celebrate Nigeria's 100 years &we give away the 'Nigeria Centenary 100 Million Naira Mega Jackpot'!Send WIN to 35777 & participate!N100/SMS,great news celebr nigeria number year give away nigeria centenari number million naira mega jackpot send win number particip nnumber sms
receive,1,Enjoy uninterrupted chatting and PINGing on BBM  for only N100 weekly. To activate  text BBMW to 21600.,enjoy uninterrupt chat ping bbm nnumber week activ text bbmw number
receive,1,Y'ello! Get fast  easy  reliable and unlimited WiFi access in hotspots around the world with MTN WiFi app. Click here to download the App: http://bit.ly/UcasoS,ello get fast easi reliabl unlimit wifi access hotspot around world mtn wifi app click download app webaddress
receive,1,Due to a planned network upgrade  you might experience difficulty with making calls tonight b/w 10pm . 3am. We deeply regret any inconvenience this will cause,due plan network upgrad might experi difficulti make call tonight b w numberpm numberam deepli regret inconveni caus
receive,1,Stream the latest video Dorobucci by the Marvin Crew FOR FREE on MTN Music+.Sms MUSIC to 5900 or click http://goo.gl/ZvxWGN & get FREE 1 month subscription&150MB,stream latest video dorobucci marvin crew free mtn music sms music number click webaddress get free number month subscript numbermb
send,0,Acct name adejola Afeez olakunle. acct number 01XXXXXX99 and bank name is gt bank,acct name adejola afeez olakunl acct number numberxxxxxxnumb bank name gt bank
send,0,Acct name adejola Afeez olakunle. acct number 01XXXXXX99 and bank name is gt bank,acct name adejola afeez olakunl acct number numberxxxxxxnumb bank name gt bank
receive,1,Yhello! You can now get up to date ALJAZEERA News directly to your mobile handsets. Text ALJ to 700 now! For NAIJA GIST text NGOSSIP to 700.,yhello get date aljazeera news direct mobil handset text alj number naija gist text ngossip number
receive,1,Get the Leadership Newspaper delivered to your mobile phone everyday! Text LDW to 4900 to subscribe @N30 weekly,get leadership newspap deliv mobil phone everyday text ldw number subscrib nnumber week
receive,1,You transferred N350 to 070XXXXXX17 on 03/08/14 12:14. Your new account balance is N10.15. Thanks for using Share & Sell.,transfer nnumber numberxxxxxxnumb number number number number number new account balanc nnumber number thank use share sell
receive,1,N350 was transferred to you from 081XXXXXX71 on 03/08/14 12:14 via Share & Sell. Your new account balance is N371.6.,nnumber transfer numberxxxxxxnumb number number number number number via share sell new account balanc nnumber number
receive,1,You transferred N200 to 081XXXXX992 on 30/07/14 16:42. Your new account balance is N206.09. Thanks for using Share & Sell.,transfer nnumber numberxxxxxnumb number number number number number new account balanc nnumber number thank use share sell
receive,1,"Y'ello  you have been charged N50.00 and your callertunez service has been extended to 2014-09-01 successfully. Reply TOP5 or""#SongName"" to search tunez. For more info  text HELP to 4100",ello charg nnumber number callertunez servic extend number number number success repli topnumb songnam search tunez info text help number
send,0,Sorry i went to d mosque dis is jubril mtn no 0813 940 7909,sorri went mosqu dis jubril mtn number number number
receive,1,MCB&CSC Dinner 2014 1st of its Kind in FUNAAB.2nd Aug.2014 Have you Picked up your ticket(s) VIP=#1 500 COUPLE=#2 800 TABLE for 6=#8 500.CALL 081XXXXX18 4tckts,mcb csc dinner number numberst kind funaab numbernd aug number pick ticket vip number number coupl number number tabl number number number call numberxxxxxnumb numbertckt
receive,1,LOVE TO MEET NEW FRIENDS? FunDate Is 4 You. FunDate Makes Finding New Friends Easy. Text FD to 35241 to start. cost N100 /30days,love meet new friend fundat number fundat make find new friend easi text fd number start cost nnumber numberday
send,0,Assalam aleikum may Allah  accept what ever little we did during this month & make us of those who have been saved from the fire of He'll  and count among the  dwellers of paradise. Have a blessed day... Wishing u  Eid Mubarak.sorry twas late  been busy,assalam aleikum may allah accept ever littl month make us save fire count among dweller paradis bless day wish u eid mubarak sorri twas late busi
receive,0,Please call me back. Get discounted products like Electronics  Gadgets  Clothes  Travel tickets etc  sms Menu to 2220. N100/Month.,pleas call back get discount product like electron gadget cloth travel ticket etc sms menu number nnumber month
receive,0,Take yaba bus & drop at Jibowo. From Jibowo take keke to unilag junction.  U will see Tonia school beside it is London Business Academy(glass house)ask for me,take yaba bus drop jibowo jibowo take keke unilag junction u see tonia school besid london busi academi glass hous ask
send,0,Gud evening ma I have a flat battery since yesterday and have been busy since I charge my fone in sch tolu's no is 070XXXXXX43,gud even flat batteri sinc yesterday busi sinc charg fone sch tolu numberxxxxxxnumb
